"date","symbol","market_cap"
2023-08-31,"BYAN.JK",6.25833e+14
2023-08-31,"AMMN.JK",3.25779e+14
2023-08-31,"TPIA.JK",1.88595e+14
2023-08-31,"ASII.JK",2.61119e+14
2023-08-31,"UNVR.JK",1.40011e+14
2023-08-31,"BBCA.JK",1.119738e+15
2023-08-31,"BBNI.JK",1.6939e+14
2023-08-31,"BBRI.JK",8.32741e+14
2023-08-31,"BMRI.JK",5.5671e+14
2023-08-31,"TLKM.JK",3.69502e+14
2023-07-31,"BYAN.JK",6.61667e+14
2023-07-31,"AMMN.JK",2.02084e+14
2023-07-31,"TPIA.JK",1.83404e+14
2023-07-31,"ASII.JK",2.77312e+14
2023-07-31,"UNVR.JK",1.46878e+14
2023-07-31,"BBCA.JK",1.113636e+15
2023-07-31,"BBNI.JK",1.63852e+14
2023-07-31,"BBRI.JK",8.47745e+14
2023-07-31,"BMRI.JK",5.2899e+14
2023-07-31,"TLKM.JK",3.68511e+14
2023-06-30,"BYAN.JK",5.16667e+14
2023-06-30,"TPIA.JK",1.81674e+14
2023-06-30,"ASII.JK",2.74276e+14
2023-06-30,"ICBP.JK",1.32071e+14
2023-06-30,"UNVR.JK",1.62519e+14
2023-06-30,"BBCA.JK",1.116687e+15
2023-06-30,"BBNI.JK",1.68929e+14
2023-06-30,"BBRI.JK",8.13986e+14
2023-06-30,"BMRI.JK",4.8048e+14
2023-06-30,"TLKM.JK",3.96249e+14
2023-05-31,"BYAN.JK",5e+14
2023-05-31,"TPIA.JK",1.85135e+14
2023-05-31,"ASII.JK",2.61119e+14
2023-05-31,"UNVR.JK",1.7282e+14
2023-05-31,"BBCA.JK",1.104483e+15
2023-05-31,"BBNI.JK",1.67083e+14
2023-05-31,"BBRI.JK",8.36492e+14
2023-05-31,"BMRI.JK",4.6662e+14
2023-05-31,"GOTO.JK",1.74101e+14
2023-05-31,"TLKM.JK",4.00211e+14
2023-04-30,"BYAN.JK",7.16667e+14
2023-04-30,"TPIA.JK",2.04167e+14
2023-04-30,"ASII.JK",2.73264e+14
2023-04-30,"ICBP.JK",1.23325e+14
2023-04-30,"UNVR.JK",1.6786e+14
2023-04-30,"BBCA.JK",1.104483e+15
2023-04-30,"BBNI.JK",1.74006e+14
2023-04-30,"BBRI.JK",7.65221e+14
2023-04-30,"BMRI.JK",4.7817e+14
2023-04-30,"TLKM.JK",4.21014e+14
2023-03-31,"BYAN.JK",6.925e+14
2023-03-31,"TPIA.JK",2.02437e+14
2023-03-31,"ASII.JK",2.42901e+14
2023-03-31,"HMSP.JK",1.30858e+14
2023-03-31,"UNVR.JK",1.65953e+14
2023-03-31,"BBCA.JK",1.06787e+15
2023-03-31,"BBNI.JK",1.72621e+14
2023-03-31,"BBRI.JK",7.09705e+14
2023-03-31,"BMRI.JK",4.77015e+14
2023-03-31,"TLKM.JK",4.02193e+14
2023-02-28,"BYAN.JK",6.4e+14
2023-02-28,"TPIA.JK",1.99842e+14
