"date","symbol","volume"
"2024-02-20","ACRO.JK","10730000"
"2024-02-20","ASLI.JK","658400"
"2024-02-20","MANG.JK","2931100"
"2024-02-20","NICE.JK","94226900"
"2024-02-20","MSJA.JK","50862300"
"2024-02-20","MSIN.JK","4555400"
"2024-02-20","CGAS.JK","11928900"
"2024-02-20","TLDN.JK","197400"
"2024-02-20","DMND.JK","59400"
"2024-02-20","CASH.JK","4703500"
"2024-02-20","CBPE.JK","116000"
"2024-02-20","CBRE.JK","17600"
"2024-02-20","AIMS.JK","17311500"
"2024-02-20","AMAR.JK","2482100"
"2024-02-20","LTLS.JK","1210700"
"2024-02-20","AMOR.JK","292900"
"2024-02-20","LAJU.JK","3747700"
"2024-02-20","LAPD.JK","3929600"
"2024-02-20","EDGE.JK","151200"
"2024-02-20","BBCA.JK","63997700"
"2024-02-20","PTMP.JK","82069200"
"2024-02-20","ANJT.JK","290000"
"2024-02-20","LEAD.JK","374500"
"2024-02-19","CBMF.JK","0"
"2024-02-19","BAPI.JK","0"
"2024-02-20","KLAS.JK","2629600"
"2024-02-20","LIFE.JK","10500"
"2024-02-20","LION.JK","10800"
"2024-02-20","ALTO.JK","100"
"2024-02-20","AMFG.JK","7500"
"2024-02-19","LMAS.JK","0"
"2024-02-20","LMPI.JK","12400"
"2024-02-20","PIPA.JK","200"
"2024-02-19","TRUE.JK","0"
"2024-02-20","TRUE.JK","3200"
"2024-02-20","SURI.JK","53548200"
"2024-02-20","MICE.JK","76200"
"2024-02-19","LMSH.JK","0"
"2024-02-20","LMSH.JK","100"
"2024-02-20","TRUS.JK","121300"
"2024-02-19","UNIT.JK","0"
"2024-02-20","CBUT.JK","107700"
"2024-02-20","BRIS.JK","76880900"
"2024-02-20","MOLI.JK","626500"
"2024-02-20","BRPT.JK","78511300"
"2024-02-20","MRAT.JK","502600"
"2024-02-19","MTRA.JK","0"
"2024-02-20","INET.JK","334399700"
"2024-02-20","NIKL.JK","145800"
"2024-02-20","PDPP.JK","2683400"
"2024-02-20","PEVE.JK","236400"
"2024-02-19","ETWA.JK","0"
"2024-02-20","CMNP.JK","29800"
"2024-02-19","CTBN.JK","0"
"2024-02-20","KOKA.JK","7122700"
"2024-02-20","DART.JK","1300"
"2024-02-20","PSKT.JK","2519800"
"2024-02-20","APIC.JK","4682700"
"2024-02-19","PURE.JK","0"
"2024-02-20","ATAP.JK","132100"
"2024-02-19","ROCK.JK","0"
"2024-02-20","ASPI.JK","23300"
"2024-02-19","CSMI.JK","0"
"2024-02-20","LPIN.JK","75400"
"2024-02-20","RONY.JK","1000"
"2024-02-20","DSFI.JK","4395800"
"2024-02-20","BIPP.JK","500"
"2024-02-20","ARKA.JK","200"
"2024-02-20","BEKS.JK","88200"
"2024-02-20","ADCP.JK","4648100"
"2024-02-20","BOBA.JK","108900"
"2024-02-20","ERTX.JK","247000"
"2024-02-20","LPPS.JK","529900"
"2024-02-20","LRNA.JK","13700"
"2024-02-20","LUCK.JK","116600"
"2024-02-20","LUCY.JK","223900"
"2024-02-20","SONA.JK","43100"
"2024-02-20","MFMI.JK","1400"
"2024-02-20","FITT.JK","92500"
"2024-02-20","APII.JK","13800"
"2024-02-20","NASI.JK","27013500"
"2024-02-20","KLIN.JK","104800"
"2024-02-20","ADHI.JK","48335500"
"2024-02-20","SSMS.JK","7870100"
"2024-02-20","BPFI.JK","32400"
"2024-02-19","MABA.JK","0"
"2024-02-20","FLMC.JK","9400"
"2024-02-19","BPII.JK","0"
"2024-02-20","BPTR.JK","2646800"
"2024-02-20","BREN.JK","7225000"
"2024-02-19","SSTM.JK","0"
"2024-02-20","ARKO.JK","4371900"
"2024-02-20","STAR.JK","220800"
"2024-02-20","MAIN.JK","794700"
"2024-02-20","MARI.JK","5968600"
"2024-02-20","AMAN.JK","559700"
"2024-02-20","FMII.JK","500"
"2024-02-20","FOOD.JK","375600"
"2024-02-20","FORU.JK","2500700"
"2024-02-20","ARTI.JK","111900"
"2024-02-20","STTP.JK","200"
"2024-02-20","BMAS.JK","19700"
"2024-02-20","BHAT.JK","1700"
"2024-02-20","ASBI.JK","40500"
"2024-02-19","GOLL.JK","0"
"2024-02-20","PGJO.JK","2995100"
"2024-02-20","SULI.JK","583700"
"2024-02-20","BSML.JK","16802600"
"2024-02-19","MDIA.JK","0"
"2024-02-20","BSSR.JK","217900"
"2024-02-20","SWAT.JK","10600"
"2024-02-20","MEGA.JK","3100"
"2024-02-20","MDKI.JK","319800"
"2024-02-20","CCSI.JK","1000"
"2024-02-19","BSWD.JK","0"
"2024-02-19","BTEL.JK","0"
"2024-02-20","MEDS.JK","13100"
"2024-02-20","FUJI.JK","34900"
"2024-02-20","LPPF.JK","3449600"
"2024-02-19","COWL.JK","0"
"2024-02-20","SWID.JK","514300"
"2024-02-20","KDTN.JK","4900"
"2024-02-20","FPNI.JK","966700"
"2024-02-19","META.JK","0"
"2024-02-20","TALF.JK","800"
"2024-02-20","TAPG.JK","2800600"
"2024-02-20","ASJT.JK","251300"
"2024-02-20","MGNA.JK","13200"
"2024-02-20","BUDI.JK","60700"
"2024-02-19","GAMA.JK","0"
"2024-02-20","BNBR.JK","100000"
"2024-02-20","PICO.JK","208800"
"2024-02-20","KETR.JK","690300"
"2024-02-20","ARII.JK","107500"
"2024-02-20","BUVA.JK","4677300"
"2024-02-20","BVIC.JK","349400"
"2024-02-20","CEKA.JK","5800"
"2024-02-20","MINA.JK","25000"
"2024-02-20","MITI.JK","189800"
"2024-02-20","CENT.JK","873400"
"2024-02-20","TCID.JK","1100"
"2024-02-20","BWPT.JK","11139000"
"2024-02-20","CAMP.JK","420900"
"2024-02-20","GDYR.JK","32900"
"2024-02-20","PURI.JK","198200"
"2024-02-20","TGKA.JK","1400"
"2024-02-20","CARS.JK","8297400"
"2024-02-20","BSIM.JK","9800"
"2024-02-20","MKTR.JK","50100"
"2024-02-20","MMIX.JK","1208100"
"2024-02-20","MORA.JK","628700"
"2024-02-19","DEFI.JK","0"
"2024-02-19","PLAS.JK","0"
"2024-02-20","MREI.JK","46300"
"2024-02-19","MTFN.JK","0"
"2024-02-20","BUAH.JK","180600"
"2024-02-20","IKAN.JK","17800"
"2024-02-20","MBTO.JK","204500"
"2024-02-20","TOPS.JK","1162500"
"2024-02-20","GGRP.JK","171700"
"2024-02-20","HERO.JK","47100"
"2024-02-20","TPMA.JK","3509300"
"2024-02-20","NASA.JK","4100"
"2024-02-20","UFOE.JK","2378100"
"2024-02-20","TRGU.JK","951800"
"2024-02-20","TRIN.JK","1076300"
"2024-02-20","TOOL.JK","2064800"
"2024-02-19","TRIO.JK","0"
"2024-02-20","CINT.JK","82400"
"2024-02-20","NETV.JK","274900"
"2024-02-20","GLVA.JK","29900"
"2024-02-20","CPIN.JK","5260900"
"2024-02-20","RELI.JK","12200"
"2024-02-19","CPRI.JK","0"
"2024-02-20","DADA.JK","9046600"
"2024-02-20","AXIO.JK","4203200"
"2024-02-20","AYLS.JK","17400"
"2024-02-20","BAUT.JK","1200"
"2024-02-20","GPRA.JK","3627200"
"2024-02-20","CITY.JK","410300"
"2024-02-20","BBLD.JK","54600"
"2024-02-20","OBMD.JK","1982300"
"2024-02-20","KOCI.JK","3730000"
"2024-02-19","AGAR.JK","0"
"2024-02-20","AGAR.JK","100"
"2024-02-20","DVLA.JK","16200"
"2024-02-20","BIMA.JK","47600"
"2024-02-20","EKAD.JK","88300"
"2024-02-20","DGNS.JK","2514500"
"2024-02-20","GPSO.JK","15797200"
"2024-02-20","OILS.JK","324200"
"2024-02-20","OKAS.JK","828700"
"2024-02-20","GSMF.JK","11700"
"2024-02-20","OPMS.JK","798100"
"2024-02-20","ERAL.JK","1408200"
"2024-02-20","GWSA.JK","84900"
"2024-02-20","ANDI.JK","100"
"2024-02-20","BIKE.JK","13083200"
"2024-02-20","MIRA.JK","83600"
"2024-02-20","FUTR.JK","2200"
"2024-02-20","GGRM.JK","780600"
"2024-02-19","GMTD.JK","0"
"2024-02-20","FAPA.JK","11700"
"2024-02-20","HAIS.JK","1171900"
"2024-02-20","HALO.JK","2381100"
"2024-02-20","KKES.JK","300"
"2024-02-20","PADI.JK","117500"
"2024-02-20","VKTR.JK","106465200"
"2024-02-20","TRJA.JK","656100"
"2024-02-20","TRON.JK","7046200"
"2024-02-20","KRYA.JK","2168200"
"2024-02-20","TOBA.JK","12599000"
"2024-02-20","LOPI.JK","1841500"
"2024-02-20","INPS.JK","688200"
"2024-02-20","MPXL.JK","14757200"
"2024-02-20","GZCO.JK","13549600"
"2024-02-20","HRUM.JK","4441400"
"2024-02-20","ICON.JK","100"
"2024-02-20","AMAG.JK","18400"
"2024-02-20","INAI.JK","2200"
"2024-02-20","SFAN.JK","151400"
"2024-02-20","BELL.JK","3173600"
"2024-02-20","ARTO.JK","17095300"
"2024-02-20","SGER.JK","38410900"
"2024-02-20","INCI.JK","6200"
"2024-02-20","CLAY.JK","900"
"2024-02-20","INDR.JK","114700"
"2024-02-20","HDIT.JK","1000"
"2024-02-20","PDES.JK","1700"
"2024-02-20","BCIC.JK","440700"
"2024-02-20","ALKA.JK","113800"
"2024-02-20","IDEA.JK","39963100"
"2024-02-19","HKMU.JK","0"
"2024-02-20","BCIP.JK","228100"
"2024-02-20","PEHA.JK","75800"
"2024-02-20","BDKR.JK","5361500"
"2024-02-20","INOV.JK","3000"
"2024-02-20","HELI.JK","15128800"
"2024-02-20","UNIQ.JK","13609900"
"2024-02-20","LAND.JK","598300"
"2024-02-20","NELY.JK","1223100"
"2024-02-19","OCAP.JK","0"
"2024-02-20","PGLI.JK","257400"
"2024-02-20","PNBS.JK","9525800"
"2024-02-20","PTIS.JK","35500"
"2024-02-20","IBFN.JK","262700"
"2024-02-20","RCCC.JK","5200"
"2024-02-20","PGUN.JK","5100"
"2024-02-20","CLPI.JK","28700"
"2024-02-20","PJAA.JK","181300"
"2024-02-19","KREN.JK","0"
"2024-02-20","KREN.JK","200"
"2024-02-20","SOTS.JK","79000"
"2024-02-20","PKPK.JK","131400"
"2024-02-20","PLAN.JK","773800"
"2024-02-20","ARGO.JK","100"
"2024-02-20","PTPP.JK","82890000"
"2024-02-20","ICBP.JK","4743300"
"2024-02-20","BABY.JK","2460200"
"2024-02-20","BMSR.JK","30700"
"2024-02-20","DFAM.JK","853300"
"2024-02-20","VINS.JK","372200"
"2024-02-19","CNTX.JK","0"
"2024-02-19","KAYU.JK","0"
"2024-02-20","COAL.JK","7182000"
"2024-02-20","COCO.JK","7900"
"2024-02-19","WIKA.JK","0"
"2024-02-20","ARCI.JK","1792600"
"2024-02-20","WINE.JK","67400"
"2024-02-20","WOMF.JK","154000"
"2024-02-20","ZATA.JK","2600"
"2024-02-20","ZBRA.JK","45500"
"2024-02-20","ATIC.JK","464000"
"2024-02-20","PLIN.JK","300"
"2024-02-20","PNGO.JK","3600"
"2024-02-20","CITA.JK","2600"
"2024-02-20","KBLV.JK","78300"
"2024-02-20","LPLI.JK","1500"
"2024-02-20","BRMS.JK","171829600"
"2024-02-20","SUNI.JK","173900"
"2024-02-20","MTLA.JK","5000"
"2024-02-20","IRSX.JK","7900"
"2024-02-19","PNSE.JK","0"
"2024-02-20","SMCB.JK","35100"
"2024-02-20","ADES.JK","85500"
"2024-02-20","MCOR.JK","3891900"
"2024-02-19","POLA.JK","0"
"2024-02-20","POLI.JK","300"
"2024-02-19","POLY.JK","0"
"2024-02-20","FWCT.JK","1208700"
"2024-02-20","PTSN.JK","1278700"
"2024-02-19","HOME.JK","0"
"2024-02-20","HOPE.JK","1880100"
"2024-02-20","CPRO.JK","21280600"
"2024-02-20","TGUK.JK","4910400"
"2024-02-20","TFAS.JK","12000"
"2024-02-20","CHIP.JK","535400"
"2024-02-20","JARR.JK","1527300"
"2024-02-20","AYAM.JK","57938000"
"2024-02-20","LINK.JK","2400"
"2024-02-20","BYAN.JK","65500"
"2024-02-20","IATA.JK","41700"
"2024-02-20","WIRG.JK","38313800"
"2024-02-20","NINE.JK","1088200"
"2024-02-20","BBTN.JK","162716100"
"2024-02-20","BCAP.JK","1064500"
"2024-02-20","BOGA.JK","189833600"
"2024-02-20","BEBS.JK","20400"
"2024-02-20","BINA.JK","54100"
"2024-02-20","IBOS.JK","3512200"
"2024-02-20","BANK.JK","2364500"
"2024-02-20","PPGL.JK","188000"
"2024-02-20","BATA.JK","1123900"
"2024-02-20","CFIN.JK","5753700"
"2024-02-20","CRAB.JK","4537900"
"2024-02-20","DMMX.JK","886400"
"2024-02-20","IFII.JK","1500"
"2024-02-20","TAMA.JK","25600"
"2024-02-20","DSNG.JK","50383800"
"2024-02-20","EMTK.JK","30380000"
"2024-02-20","ENAK.JK","180400"
